total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hour_of_day,day_of_week,week_of_year,month,is_weekend,is_night_shift,machine_encoded,line_encoded,hours_to_next_failure_event
725,20.5,90.62,3,28800.0,0.4292,1.0,0.4292,1.0,3.0,3.0,0.0,0.0,1092.92,3.0,1,9,10,4,12,3,0,0,7,0,21.59
731,25.42,91.38,5,28800.0,0.6173,1.0,0.6173,1.0,5.0,5.0,0.0,0.0,1092.92,3.15,1,9,14,4,12,3,0,0,7,0,17.86
702,12.77,87.75,3,28800.0,0.2185,1.0,0.2913,1.0,1.0,1.0,0.0,0.0,1092.92,3.68,0,9,3,5,12,3,1,1,7,0,5.23
779,11.14,100.08,4,28022.0,0.2943,0.973,0.3025,1.0,4.0,4.0,0.0,0.0,1153.95,4.34,1,9,18,5,12,3,1,0,7,0,202.03
830,17.8,106.65,1,28017.0,0.4104,0.9728,0.4219,1.0,2.0,2.0,0.0,0.0,1153.95,4.76,1,9,5,6,12,3,1,1,7,0,191.78
837,28.84,104.62,4,28800.0,0.7266,1.0,0.7266,1.0,4.0,4.0,0.0,0.0,1153.95,4.87,1,9,7,6,12,3,1,0,7,0,189.13
703,29.03,87.88,6,28800.0,0.6412,1.0,0.6412,1.0,6.0,6.0,0.0,0.0,1153.95,5.21,1,8,15,6,12,3,1,0,7,0,181.13
714,11.7,89.25,2,28800.0,0.2881,1.0,0.2881,1.0,5.0,5.0,0.0,0.0,1153.95,5.77,1,7,5,0,13,3,0,1,7,0,167.7
728,14.7,115.69,5,25715.625,0.366,0.8929374999999999,0.4653,1.0,5.0,5.0,0.0,0.0,1153.95,6.12,1,7,13,0,13,3,0,0,7,0,159.2
763,43.72,111.47,4,25715.625,0.8556,0.8929374999999999,1.0,1.0,4.0,4.0,0.0,0.0,1153.95,6.27,1,7,17,0,13,3,0,0,7,0,155.55
674,19.89,116.38,5,25715.625,0.359,0.8929374999999999,0.4959,1.0,2.0,2.0,0.0,0.0,1153.95,6.64,1,8,2,1,13,3,0,1,7,0,146.7
767,32.36,95.88,6,28800.0,0.6394,1.0,0.6394,1.0,6.0,6.0,0.0,0.0,1238.09,0.28,1,8,9,1,13,3,0,0,7,0,139.25
790,50.7,98.75,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1238.09,0.61,1,8,17,1,13,3,0,0,7,0,131.17
849,43.45,106.12,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1238.09,0.82,1,8,22,1,13,3,0,1,7,0,126.33
755,12.77,94.38,2,28800.0,0.3211,1.0,0.3211,1.0,2.0,2.0,0.0,0.0,1238.09,1.23,1,8,8,2,13,3,0,0,7,0,116.35
917,39.32,114.62,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1238.09,1.49,1,8,14,2,13,3,0,0,7,0,110.22
854,40.02,106.75,7,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1238.09,1.91,1,7,0,3,13,3,0,1,7,0,100.08
879,19.51,109.88,6,28800.0,0.5665,1.0,0.5665,1.0,6.0,6.0,0.0,0.0,1238.09,2.33,1,7,10,3,13,3,0,0,7,0,90.1
852,18.32,106.5,4,28800.0,0.4018,1.0,0.5023,1.0,5.0,4.0,0.0,0.0,1238.09,2.77,1,7,21,3,13,3,0,0,7,0,79.32
843,37.14,105.38,3,28800.0,0.9776,1.0,0.9776,1.0,3.0,3.0,0.0,0.0,1238.09,2.89,1,7,0,4,13,3,0,1,7,0,76.53
754,25.61,100.01,4,27140.0,0.6464,0.9424,0.6859,1.0,4.0,4.0,0.0,0.0,1238.09,3.2,1,7,7,4,13,3,0,0,7,0,69.2
906,15.59,122.91,2,26537.0,0.4389,0.9214,0.4763,1.0,2.0,2.0,0.0,0.0,1238.09,3.52,1,7,15,4,13,3,0,0,7,0,61.47
828,18.13,114.11,3,26122.0,0.4387,0.907,0.4837,1.0,2.0,2.0,0.0,0.0,1274.58,0.29,1,8,5,5,13,3,1,1,7,0,47.95
667,18.35,83.38,5,28800.0,0.3111,1.0,0.3733,1.0,6.0,5.0,0.0,0.0,1274.58,0.5,0,8,10,5,13,3,1,0,7,0,42.85
793,27.39,99.12,3,28800.0,0.6539,1.0,0.6539,1.0,3.0,3.0,0.0,0.0,1274.58,0.95,0,8,20,5,13,3,1,0,7,0,32.0
708,24.12,88.5,2,28800.0,0.5371,1.0,0.5371,1.0,8.0,8.0,0.0,0.0,1274.58,1.11,0,8,0,6,13,3,1,1,7,0,28.3
634,18.14,83.41,4,27363.0,0.2536,0.9501,0.3336,1.0,5.0,4.0,0.0,0.0,1296.91,1.41,0,8,8,6,13,3,1,0,7,0,20.92
710,18.76,90.8,8,28151.0,0.3454,0.9775,0.3533,1.0,1.0,1.0,0.0,0.0,1296.91,2.23,0,8,3,0,14,3,0,1,7,0,1.28
794,33.43,105.83,2,27010.0,0.889,0.9378,0.948,1.0,2.0,2.0,0.0,0.0,1315.78,2.52,1,8,10,0,14,3,0,0,7,0,278.51
756,36.59,102.1,2,26655.0,0.829,0.9255,0.8957,1.0,2.0,2.0,0.0,0.0,1315.78,2.79,1,8,17,0,14,3,0,0,7,0,272.1
614,32.01,80.6,1,27423.0,0.5857,0.9522,0.6151,1.0,5.0,4.0,0.0,0.0,1315.78,3.13,1,8,1,1,14,3,0,1,7,0,263.76
869,16.2,114.08,3,27422.0,0.2921,0.9522,0.5112,1.0,5.0,3.0,0.0,0.0,1437.93,0.46,1,8,13,1,14,3,0,0,7,0,251.33
801,12.42,104.63,2,27560.0,0.3301,0.9569,0.345,1.0,2.0,2.0,0.0,0.0,1437.93,0.47,1,8,14,1,14,3,0,0,7,0,251.01
823,10.37,106.46,4,27830.0,0.1952,0.9663,0.2525,1.0,5.0,5.0,0.0,0.0,1437.93,1.12,1,8,5,2,14,4,0,1,7,0,235.3
678,11.04,84.75,2,28800.0,0.2253,1.0,0.2253,1.0,2.0,2.0,0.0,0.0,1437.93,1.28,1,8,9,2,14,4,0,0,7,0,231.65
721,17.99,90.12,2,28800.0,0.369,1.0,0.369,1.0,2.0,2.0,0.0,0.0,1437.93,1.57,1,8,16,2,14,4,0,0,7,0,224.6
694,29.0,86.75,5,28800.0,0.5352,1.0,0.5352,1.0,2.0,2.0,0.0,0.0,1437.93,1.96,1,8,1,3,14,4,0,1,7,0,215.3
586,24.13,73.25,2,28800.0,0.2501,1.0,0.3752,1.0,3.0,2.0,0.0,0.0,1437.93,2.38,1,8,11,3,14,4,0,0,7,0,205.26
684,19.86,85.5,2,28800.0,0.2647,1.0,0.3971,1.0,3.0,2.0,0.0,0.0,1437.93,2.71,1,8,19,3,14,4,0,0,7,0,197.28
782,22.99,97.75,2,28800.0,0.6063,1.0,0.6063,1.0,4.0,4.0,0.0,0.0,1437.93,2.91,1,8,0,4,14,4,0,1,7,0,192.48
673,29.39,84.12,6,28800.0,0.6237,1.0,0.6237,1.0,6.0,6.0,0.0,0.0,1437.93,3.33,1,8,10,4,14,4,0,0,7,0,182.46
875,15.41,109.38,5,28800.0,0.3868,1.0,0.3868,1.0,5.0,5.0,0.0,0.0,1437.93,3.48,1,8,14,4,14,4,0,0,7,0,178.85
893,36.39,111.62,4,28800.0,0.9659,1.0,0.9659,1.0,4.0,4.0,0.0,0.0,1437.93,3.97,1,8,2,5,14,4,1,1,7,0,167.1
793,43.95,99.12,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1437.93,4.26,1,8,9,5,14,4,1,0,7,0,159.95
777,25.52,97.12,4,28800.0,0.5126,1.0,0.5126,1.0,4.0,4.0,0.0,0.0,1437.93,4.9,1,7,0,6,14,4,1,1,7,0,144.76
722,21.69,111.08,2,25715.625,0.4442,0.8929374999999999,0.5467,1.0,2.0,2.0,0.0,0.0,1437.93,5.21,1,8,7,6,14,4,1,0,7,0,137.28
811,13.2,116.6,5,25715.625,0.3266,0.8929374999999999,0.3757,1.0,5.0,5.0,0.0,0.0,1461.33,0.38,1,8,17,6,14,4,1,0,7,0,128.03
720,17.97,105.35,2,25715.625,0.3473,0.8929374999999999,0.4065,1.0,2.0,2.0,0.0,0.0,1461.33,1.09,0,8,10,0,15,4,0,0,7,0,111.03
902,34.1,153.26,6,25715.625,0.7357,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,1570.41,0.22,0,8,17,0,15,4,0,0,7,0,103.73
753,44.25,120.21,2,25715.625,0.783,0.8929374999999999,1.0,1.0,3.0,3.0,0.0,0.0,1570.41,0.74,0,7,5,1,15,4,0,1,7,0,91.38
807,52.31,100.88,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1570.41,0.92,0,7,10,1,15,4,0,0,7,0,87.0
697,28.95,87.12,5,28800.0,0.5905,1.0,0.5905,1.0,5.0,5.0,0.0,0.0,1570.41,1.33,0,7,20,1,15,4,0,0,7,0,77.06
735,12.35,91.88,3,28800.0,0.2715,1.0,0.2715,1.0,4.0,4.0,0.0,0.0,1570.41,1.5,0,7,0,2,15,4,0,1,7,0,73.0
813,15.14,101.62,4,28800.0,0.3554,1.0,0.3554,1.0,4.0,4.0,0.0,0.0,1570.41,1.89,0,7,9,2,15,4,0,0,7,0,63.61
882,10.22,110.25,2,28800.0,0.2481,1.0,0.2481,1.0,2.0,2.0,0.0,0.0,1570.41,2.16,0,7,15,2,15,4,0,0,7,0,57.18
644,43.15,80.5,4,28800.0,0.8148,1.0,0.8148,1.0,5.0,5.0,0.0,0.0,1570.41,2.54,0,7,0,3,15,4,0,1,7,0,48.13
678,32.19,84.75,4,28800.0,0.5958,1.0,0.5958,1.0,4.0,4.0,0.0,0.0,1570.41,2.78,0,7,6,3,15,4,0,0,7,0,42.26
730,35.47,91.25,3,28800.0,0.6925,1.0,0.6925,1.0,3.0,3.0,0.0,0.0,1570.41,3.23,0,7,17,3,15,4,0,0,7,0,31.53
885,28.04,110.62,5,28800.0,0.8318,1.0,0.8318,1.0,5.0,4.0,0.0,0.0,1570.41,3.57,0,7,1,4,15,4,0,1,7,0,23.35
719,34.08,89.88,5,28800.0,0.8121,1.0,0.8121,1.0,5.0,5.0,0.0,0.0,1570.41,3.89,0,7,9,4,15,4,0,0,7,0,15.83
723,39.9,90.38,2,28800.0,0.9065,1.0,0.9065,1.0,2.0,2.0,0.0,0.0,1570.41,4.25,0,7,18,4,15,4,0,0,7,0,7.11
806,34.81,100.75,4,28800.0,0.7545,1.0,0.9431,1.0,4.0,4.0,0.0,0.0,1570.41,4.53,0,6,0,5,15,4,1,1,7,0,0.25
721,41.69,92.28,5,28126.0,0.857,0.9766,0.8775,1.0,5.0,5.0,0.0,0.0,1656.61,5.05,1,6,13,5,15,4,1,0,7,0,160.1
813,14.14,106.01,4,27610.0,0.3918,0.9587,0.4087,1.0,4.0,4.0,0.0,0.0,1656.61,5.19,1,6,16,5,15,4,1,0,7,0,156.6
724,17.42,94.61,4,27550.0,0.4206,0.9566,0.4397,1.0,2.0,1.0,0.0,0.0,1656.61,5.58,1,6,1,6,15,4,1,1,7,0,147.4
630,30.46,78.75,5,28800.0,0.555,1.0,0.555,1.0,5.0,5.0,0.0,0.0,1656.61,5.87,1,6,8,6,15,4,1,0,7,0,140.33
911,17.89,113.88,6,28800.0,0.5621,1.0,0.5621,1.0,6.0,6.0,0.0,0.0,1656.61,6.15,1,6,15,6,15,4,1,0,7,0,133.58
703,43.1,87.88,1,28800.0,0.4531,1.0,0.9061,1.0,4.0,4.0,0.0,0.0,1656.61,6.63,1,6,3,0,16,4,0,1,7,0,122.18
736,17.73,92.0,3,28800.0,0.3562,1.0,0.3562,1.0,3.0,3.0,0.0,0.0,1656.61,6.78,1,6,6,0,16,4,0,0,7,0,118.6
839,16.7,104.88,3,28800.0,0.4408,1.0,0.4408,1.0,3.0,3.0,0.0,0.0,1656.61,7.23,1,6,17,0,16,4,0,0,7,0,107.75
633,42.74,104.55,3,25715.625,0.7568,0.8929374999999999,1.0,1.0,3.0,3.0,0.0,0.0,1656.61,7.82,1,6,7,1,16,4,0,0,7,0,93.65
820,11.23,131.23,6,25715.625,0.3086,0.8929374999999999,0.3951,1.0,6.0,6.0,0.0,0.0,1656.61,8.23,1,7,17,1,16,4,0,0,7,0,83.81
792,24.68,125.44,4,25715.625,0.5359,0.8929374999999999,0.8488,1.0,5.0,5.0,0.0,0.0,1721.7,0.22,1,7,1,2,16,4,0,1,7,0,75.68
823,11.95,102.88,3,28800.0,0.3166,1.0,0.3166,1.0,3.0,3.0,0.0,0.0,1721.7,0.42,1,7,6,2,16,4,0,0,7,0,70.8
697,37.63,87.12,5,28800.0,0.7333,1.0,0.7333,1.0,5.0,5.0,0.0,0.0,1721.7,1.04,1,7,21,2,16,4,0,0,7,0,56.03
860,31.95,107.5,5,28800.0,0.8794,1.0,0.8794,1.0,3.0,3.0,0.0,0.0,1721.7,1.23,1,7,1,3,16,4,0,1,7,0,51.4
671,12.29,83.88,5,28800.0,0.2213,1.0,0.2213,1.0,5.0,5.0,0.0,0.0,1721.7,1.64,1,6,11,3,16,4,0,0,7,0,41.51
688,25.44,86.0,2,28800.0,0.6053,1.0,0.6053,1.0,2.0,2.0,0.0,0.0,1721.7,1.99,1,6,20,3,16,4,0,0,7,0,33.25
773,42.66,96.62,3,28800.0,0.8484,1.0,0.8484,1.0,1.0,0.0,0.0,0.0,1721.7,2.23,1,6,1,4,16,4,0,1,7,0,27.48
802,36.91,126.0,3,25715.625,0.7956,0.8929374999999999,1.0,1.0,3.0,3.0,0.0,0.0,1721.7,2.72,1,7,13,4,16,4,0,0,7,0,15.8
847,19.11,123.55,4,25715.625,0.49,0.8929374999999999,0.5718,1.0,4.0,4.0,0.0,0.0,1734.09,0.19,1,7,21,4,16,4,0,0,7,0,7.95
892,42.11,124.8,0,25731.0,0.0,0.8934,1.0,1.0,3.0,3.0,0.0,0.0,1734.09,0.47,0,7,4,5,16,4,1,1,7,0,1.03
852,18.24,118.26,2,25935.0,0.4298,0.9005,0.4773,1.0,2.0,2.0,0.0,0.0,1912.62,0.76,1,7,11,5,16,4,1,0,7,0,259.82
761,11.46,102.4,4,26754.0,0.2473,0.929,0.2662,1.0,4.0,4.0,0.0,0.0,1912.62,0.95,1,7,15,5,16,4,1,0,7,0,255.28
603,29.39,79.86,3,27184.0,0.5211,0.9439,0.5521,1.0,3.0,3.0,0.0,0.0,1912.62,1.23,1,7,22,5,16,4,1,1,7,0,248.5
787,26.2,98.38,2,28800.0,0.6821,1.0,0.6821,1.0,2.0,2.0,0.0,0.0,1912.62,1.58,1,7,6,6,16,4,1,0,7,0,240.08
735,43.42,91.88,2,28800.0,0.917,1.0,0.917,1.0,2.0,2.0,0.0,0.0,1912.62,2.12,1,7,19,6,16,4,1,0,7,0,227.17
779,31.49,97.38,6,28800.0,0.6386,1.0,0.6386,1.0,4.0,3.0,0.0,0.0,1912.62,2.39,1,7,2,0,17,4,0,1,7,0,220.82
832,21.09,104.0,5,28800.0,0.4547,1.0,0.4547,1.0,5.0,5.0,0.0,0.0,1912.62,2.73,1,7,10,0,17,4,0,0,7,0,212.65
822,37.2,102.75,2,28800.0,0.8408,1.0,0.8408,1.0,2.0,2.0,0.0,0.0,1912.62,2.92,1,7,14,0,17,4,0,0,7,0,208.13
765,41.1,95.62,3,28800.0,0.6628,1.0,0.8837,1.0,4.0,3.0,0.0,0.0,1912.62,3.26,1,7,23,0,17,4,0,1,7,0,199.82
859,49.46,107.38,4,28800.0,0.8,1.0,1.0,1.0,5.0,4.0,0.0,0.0,1912.62,3.79,1,7,11,1,17,4,0,0,7,0,187.12
583,43.78,72.88,2,28800.0,0.7041,1.0,0.7041,1.0,2.0,2.0,0.0,0.0,1912.62,3.96,1,7,15,1,17,4,0,0,7,0,183.15
811,13.58,101.38,3,28800.0,0.2484,1.0,0.3312,1.0,4.0,4.0,0.0,0.0,1912.62,4.54,1,7,5,2,17,4,0,1,7,0,169.22
758,50.7,94.75,4,28800.0,0.9888,1.0,0.9888,1.0,4.0,4.0,0.0,0.0,1912.62,4.71,1,7,9,2,17,4,0,0,7,0,165.15
801,26.62,100.12,3,28800.0,0.5707,1.0,0.5707,1.0,3.0,3.0,0.0,0.0,1912.62,5.17,1,7,20,2,17,4,0,0,7,0,153.98
670,12.13,83.75,4,28800.0,0.2661,1.0,0.2661,1.0,3.0,2.0,0.0,0.0,1912.62,5.51,1,6,5,3,17,4,0,1,7,0,145.93
766,35.42,95.75,3,28800.0,0.9386,1.0,0.9386,1.0,3.0,3.0,0.0,0.0,1912.62,5.69,1,6,9,3,17,4,0,0,7,0,141.62
768,39.04,96.0,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1912.62,6.13,1,6,20,3,17,4,0,0,7,0,130.93
773,17.29,96.62,2,28800.0,0.3026,1.0,0.4539,1.0,3.0,2.0,0.0,0.0,1912.62,6.28,1,6,23,3,17,4,0,1,7,0,127.33
660,11.84,82.5,4,28800.0,0.253,1.0,0.253,1.0,4.0,4.0,0.0,0.0,1912.62,6.72,1,6,10,4,17,4,0,0,7,0,116.85
692,18.35,86.5,4,28800.0,0.3513,1.0,0.3513,1.0,4.0,4.0,0.0,0.0,1912.62,7.18,1,6,21,4,17,4,0,0,7,0,105.83
792,50.1,99.0,6,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1912.62,7.36,1,6,1,5,17,4,1,1,7,0,101.38
701,19.29,91.15,1,27686.0,0.1757,0.9613,0.3656,1.0,2.0,1.0,0.0,0.0,1912.62,7.58,0,6,6,5,17,4,1,0,7,0,96.08
650,38.94,85.34,4,27421.0,0.7563,0.9521,0.7943,1.0,4.0,4.0,0.0,0.0,1997.13,0.07,0,7,20,5,17,4,1,0,7,0,82.87
709,13.82,92.56,5,27575.0,0.2964,0.9575,0.3096,1.0,5.0,5.0,0.0,0.0,1997.13,0.16,0,7,22,5,17,4,1,1,7,0,80.55
585,18.82,73.12,4,28800.0,0.3394,1.0,0.3394,1.0,4.0,4.0,0.0,0.0,1997.13,0.62,0,7,9,6,17,4,1,0,7,0,69.55
850,32.96,106.25,5,28800.0,0.8618,1.0,0.8618,1.0,5.0,5.0,0.0,0.0,1997.13,0.82,0,7,14,6,17,4,1,0,7,0,64.78
755,24.18,94.38,5,28800.0,0.4873,1.0,0.4873,1.0,5.0,5.0,0.0,0.0,1997.13,1.22,0,6,23,6,17,4,1,1,7,0,55.22
740,14.44,92.5,6,28800.0,0.2775,1.0,0.2775,1.0,6.0,6.0,0.0,0.0,1997.13,1.58,0,6,8,0,18,4,0,0,7,0,46.55
687,29.78,85.88,2,28800.0,0.6877,1.0,0.6877,1.0,2.0,2.0,0.0,0.0,1997.13,1.99,0,6,18,0,18,4,0,0,7,0,36.68
672,46.92,84.0,4,28800.0,0.8687,1.0,0.8687,1.0,6.0,6.0,0.0,0.0,1997.13,2.39,0,6,3,1,18,4,0,1,7,0,27.2
757,18.83,94.62,4,28800.0,0.4058,1.0,0.4058,1.0,4.0,4.0,0.0,0.0,1997.13,2.78,0,6,13,1,18,4,0,0,7,0,17.87
881,29.86,110.12,3,28800.0,0.7014,1.0,0.7014,1.0,3.0,3.0,0.0,0.0,1997.13,2.91,0,6,16,1,18,4,0,0,7,0,14.67
770,14.58,96.25,6,28800.0,0.3019,1.0,0.3019,1.0,6.0,6.0,0.0,0.0,1997.13,3.18,0,6,22,1,18,4,0,1,7,0,8.08
692,21.03,102.19,2,25715.625,0.414,0.8929374999999999,0.4891,1.0,2.0,2.0,0.0,0.0,2031.98,3.74,1,6,12,2,18,4,0,0,7,0,33.35
677,32.58,103.42,6,25715.625,0.6225,0.8929374999999999,0.7607,1.0,6.0,6.0,0.0,0.0,2031.98,4.09,1,6,20,2,18,4,0,0,7,0,24.87
730,43.83,118.11,3,25715.625,0.7726,0.8929374999999999,1.0,1.0,5.0,5.0,0.0,0.0,2031.98,4.34,1,5,2,3,18,4,0,1,7,0,18.84
832,21.05,108.82,6,27525.0,0.4636,0.9557,0.4851,1.0,6.0,6.0,0.0,0.0,2031.98,4.76,1,5,12,3,18,4,0,0,7,0,8.9
642,51.61,83.79,1,27584.0,0.4414,0.9578,0.9217,1.0,2.0,1.0,0.0,0.0,2031.98,5.1,1,5,20,3,18,4,0,0,7,0,0.7
610,36.18,80.35,5,27329.0,0.6712,0.9489,0.7073,1.0,5.0,5.0,0.0,0.0,2049.16,5.19,2,5,23,3,18,4,0,1,7,0,420.83
727,15.75,90.88,3,28800.0,0.3855,1.0,0.3855,1.0,3.0,3.0,0.0,0.0,2049.16,5.51,2,5,6,4,18,5,0,0,7,0,413.08
814,19.56,101.75,6,28800.0,0.5022,1.0,0.5022,1.0,6.0,6.0,0.0,0.0,2049.16,6.1,2,6,20,4,18,5,0,0,7,0,399.1
696,19.16,87.0,5,28800.0,0.3884,1.0,0.3884,1.0,2.0,2.0,0.0,0.0,2120.73,6.46,2,6,5,5,18,5,1,1,7,0,390.31
721,40.33,90.12,2,28800.0,0.5556,1.0,0.8334,1.0,3.0,2.0,0.0,0.0,2120.73,6.5,2,6,6,5,18,5,1,0,7,0,389.31
730,8.95,91.25,4,28800.0,0.2114,1.0,0.2114,1.0,4.0,4.0,0.0,0.0,2120.73,6.91,2,6,16,5,18,5,1,0,7,0,379.63
733,37.14,91.62,2,28800.0,0.7564,1.0,0.7564,1.0,6.0,5.0,0.0,0.0,2120.73,7.38,2,6,3,6,18,5,1,1,7,0,368.41
699,38.79,87.38,5,28800.0,0.7146,1.0,0.8575,1.0,6.0,5.0,0.0,0.0,2120.73,7.72,2,6,11,6,18,5,1,0,7,0,360.25
818,41.82,102.25,2,28800.0,0.9007,1.0,0.9007,1.0,2.0,2.0,0.0,0.0,2120.73,7.97,2,6,17,6,18,5,1,0,7,0,354.08
821,30.92,102.62,5,28800.0,0.5528,1.0,0.6634,1.0,3.0,3.0,0.0,0.0,2120.73,8.38,2,6,3,0,19,5,0,1,7,0,344.23
726,29.38,113.69,3,25715.625,0.6751,0.8929374999999999,0.8458,1.0,3.0,3.0,0.0,0.0,2120.73,8.61,2,6,9,0,19,5,0,0,7,0,338.88
661,24.63,101.98,3,25715.625,0.3498,0.8929374999999999,0.5756,1.0,4.0,3.0,0.0,0.0,2120.73,8.81,2,6,14,0,19,5,0,0,7,0,333.86
663,31.3,90.57,3,26354.0,0.5459,0.9151,0.5965,1.0,4.0,3.0,0.0,0.0,2171.31,0.16,2,6,5,1,19,5,0,1,7,0,318.2
631,43.79,78.88,2,28800.0,0.8194,1.0,0.8194,1.0,2.0,2.0,0.0,0.0,2171.31,0.47,2,6,13,1,19,5,0,0,7,0,310.81
755,45.18,94.38,3,28800.0,0.75,1.0,1.0,1.0,4.0,3.0,0.0,0.0,2171.31,0.54,2,6,14,1,19,5,0,0,7,0,309.15
793,9.19,99.12,3,28800.0,0.1688,1.0,0.225,1.0,4.0,3.0,0.0,0.0,2171.31,0.91,2,6,23,1,19,5,0,1,7,0,300.13
706,13.29,88.25,2,28800.0,0.267,1.0,0.267,1.0,2.0,2.0,0.0,0.0,2171.31,1.24,1,5,7,2,19,5,0,0,7,0,292.18
735,31.66,91.88,2,28800.0,0.6901,1.0,0.6901,1.0,2.0,2.0,0.0,0.0,2171.31,1.54,1,5,14,2,19,5,0,0,7,0,285.03
724,19.0,90.5,2,28800.0,0.4241,1.0,0.4241,1.0,3.0,3.0,0.0,0.0,2171.31,2.09,1,5,3,3,19,5,0,1,7,0,271.91
862,24.01,125.01,2,25715.625,0.6836,0.8929374999999999,0.7931,1.0,2.0,2.0,0.0,0.0,2176.08,0.1,1,6,8,3,19,5,0,0,7,0,267.18
840,33.74,119.29,4,25715.625,0.8598,0.8929374999999999,0.9768,1.0,4.0,4.0,0.0,0.0,2336.61,0.61,2,6,20,3,19,5,0,0,7,0,254.9
705,8.45,104.02,3,25715.625,0.1961,0.8929374999999999,0.2315,1.0,4.0,4.0,0.0,0.0,2336.61,0.96,1,6,5,4,19,5,0,1,7,0,246.5
695,11.84,86.88,2,28800.0,0.2317,1.0,0.2317,1.0,2.0,2.0,0.0,0.0,2336.61,1.21,1,6,11,4,19,5,0,0,7,0,240.41
748,13.59,93.5,2,28800.0,0.2631,1.0,0.2631,1.0,2.0,2.0,0.0,0.0,2336.61,1.48,1,6,17,4,19,5,0,0,7,0,233.96
737,25.37,92.12,4,28800.0,0.6369,1.0,0.6369,1.0,4.0,4.0,0.0,0.0,2336.61,1.67,1,6,22,4,19,5,0,1,7,0,229.46
826,31.12,103.25,5,28800.0,0.7669,1.0,0.7669,1.0,5.0,5.0,0.0,0.0,2336.61,2.29,1,6,13,5,19,5,1,0,7,0,214.55
861,22.75,107.62,3,28800.0,0.6224,1.0,0.6224,1.0,3.0,3.0,0.0,0.0,2336.61,2.59,1,6,20,5,19,5,1,0,7,0,207.3
768,33.01,96.0,6,28800.0,0.7507,1.0,0.7507,1.0,6.0,6.0,0.0,0.0,2336.61,2.67,1,6,22,5,19,5,1,1,7,0,205.33
818,10.57,102.25,2,28800.0,0.2352,1.0,0.2352,1.0,2.0,2.0,0.0,0.0,2336.61,3.22,1,6,11,6,19,5,1,0,7,0,192.25
850,47.1,106.25,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2336.61,3.49,1,6,18,6,19,5,1,0,7,0,185.66
725,43.23,90.62,2,28800.0,0.8332,1.0,0.8332,1.0,2.0,2.0,0.0,0.0,2336.61,3.73,1,6,23,6,19,5,1,1,7,0,180.03
925,20.91,115.62,2,28800.0,0.5486,1.0,0.5486,1.0,2.0,2.0,0.0,0.0,2336.61,4.0,1,6,6,0,20,5,0,0,7,0,173.41
921,39.58,115.12,4,28800.0,0.9635,1.0,0.9635,1.0,4.0,4.0,0.0,0.0,2336.61,4.63,1,6,21,0,20,5,0,0,7,0,158.38
692,36.47,86.5,3,28800.0,0.6504,1.0,0.6504,1.0,3.0,3.0,0.0,0.0,2336.61,4.66,1,6,22,0,20,5,0,1,7,0,157.56
824,19.81,103.0,2,28800.0,0.4583,1.0,0.4583,1.0,2.0,2.0,0.0,0.0,2336.61,5.21,1,6,11,1,20,5,0,0,7,0,144.35
746,32.22,93.25,5,28800.0,0.7465,1.0,0.7465,1.0,5.0,5.0,0.0,0.0,2336.61,5.46,1,6,17,1,20,5,0,0,7,0,138.56
755,14.84,94.38,2,28800.0,0.3418,1.0,0.3418,1.0,2.0,2.0,0.0,0.0,2336.61,5.95,1,6,5,2,20,5,0,1,7,0,126.63
819,20.42,102.38,4,28800.0,0.4084,1.0,0.5105,1.0,5.0,4.0,0.0,0.0,2336.61,6.3,1,6,13,2,20,5,0,0,7,0,118.28
733,21.7,91.62,2,28800.0,0.4953,1.0,0.4953,1.0,2.0,2.0,0.0,0.0,2336.61,6.59,1,6,20,2,20,5,0,0,7,0,111.21
795,45.05,99.38,2,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,2336.61,6.78,1,6,1,3,20,5,0,1,7,0,106.68
857,29.99,124.46,5,25715.625,0.7978,0.8929374999999999,0.9269,1.0,5.0,5.0,0.0,0.0,2416.08,0.15,1,7,10,3,20,5,0,0,7,0,97.68
721,49.35,96.72,4,26835.0,0.9318,0.9318,1.0,1.0,4.0,4.0,0.0,0.0,2416.08,0.52,0,6,19,3,20,5,0,0,7,0,88.81
856,50.62,118.05,4,26104.0,0.9064,0.9064,1.0,1.0,3.0,3.0,0.0,0.0,2416.08,0.88,0,6,3,4,20,5,0,1,7,0,80.15
